portalName,URL,Provider,titleSource,spatialCoverage
05b-27053,https://gis-hennepin.hub.arcgis.com/data.json,Hennepin County GIS Data,"Hennepin County, Minnesota","Hennepin County, Minnesota|Minnesota"
12d-03,https://library-uchicago.opendata.arcgis.com/data.json,University of Chicago Library GIS Data Hub,University of Chicago,"Chicago, Illinois|Illinois"
